Time (s),Potential 1 (V),Potential 2 (V)
0,-0.00732600732601,-0.026862026862
0.1,-0.00732600732601,-0.017094017094
0.2,-0.00732600732601,-0.017094017094
0.3,-0.01221001221,-0.026862026862
0.4,-0.01221001221,-0.021978021978
0.5,-0.00732600732601,-0.021978021978
0.6,-0.01221001221,-0.021978021978
0.7,-0.00732600732601,-0.026862026862
0.8,-0.01221001221,-0.021978021978
0.9,-0.01221001221,-0.021978021978
1,-0.00732600732601,-0.026862026862
1.1,-0.00732600732601,-0.021978021978
1.2,-0.00732600732601,-0.021978021978
1.3,-0.01221001221,-0.026862026862
1.4,-0.00732600732601,-0.026862026862
1.5,-0.00732600732601,-0.026862026862
1.6,-0.01221001221,-0.026862026862
1.7,-0.00732600732601,-0.021978021978
1.8,-0.01221001221,-0.026862026862
1.9,-0.00732600732601,-0.026862026862
2,-0.00732600732601,-0.021978021978
2.1,-0.00732600732601,-0.021978021978
2.2,-0.00732600732601,-0.021978021978
2.3,-0.002442002442,-0.021978021978
2.4,-0.00732600732601,-0.021978021978
2.5,-0.00732600732601,-0.021978021978
2.6,-0.00732600732601,-0.021978021978
2.7,-0.01221001221,-0.026862026862
2.8,-0.00732600732601,-0.026862026862
2.9,-0.00732600732601,-0.026862026862
3,-0.01221001221,-0.017094017094
3.1,-0.00732600732601,-0.021978021978
3.2,-0.01221001221,-0.021978021978
3.3,-0.002442002442,-0.026862026862
3.4,-0.00732600732601,-0.026862026862
3.5,-0.00732600732601,-0.021978021978
3.6,-0.01221001221,-0.021978021978
3.7,-0.00732600732601,-0.026862026862
3.8,-0.01221001221,-0.017094017094
3.9,-0.00732600732601,-0.017094017094
4,-0.00732600732601,-0.017094017094
4.1,-0.00732600732601,-0.021978021978
4.2,-0.00732600732601,-0.026862026862
4.3,-0.00732600732601,-0.026862026862
4.4,-0.002442002442,-0.021978021978
4.5,-0.00732600732601,-0.017094017094
4.6,-0.01221001221,-0.026862026862
4.7,-0.00732600732601,-0.026862026862
4.8,-0.01221001221,-0.021978021978
4.9,-0.00732600732601,-0.021978021978
5,-0.00732600732601,-0.021978021978
5.1,-0.00732600732601,-0.021978021978
5.2,-0.01221001221,-0.026862026862
5.3,-0.01221001221,-0.021978021978
5.4,-0.00732600732601,-0.021978021978
5.5,-0.00732600732601,-0.021978021978
5.6,-0.00732600732601,-0.021978021978
5.7,-0.00732600732601,-0.017094017094
5.8,-0.00732600732601,-0.021978021978
5.9,-0.002442002442,-0.021978021978
6,-0.00732600732601,-0.021978021978
6.1,-0.01221001221,-0.026862026862
6.2,-0.00732600732601,-0.026862026862
6.3,-0.00732600732601,-0.021978021978
6.4,-0.00732600732601,-0.026862026862
6.5,-0.00732600732601,-0.017094017094
6.6,-0.00732600732601,-0.021978021978
6.7,-0.00732600732601,-0.026862026862
6.8,-0.00732600732601,-0.026862026862
6.9,-0.00732600732601,-0.026862026862
7,-0.002442002442,-0.026862026862
7.1,-0.00732600732601,-0.021978021978
7.2,-0.01221001221,-0.026862026862
7.3,-0.01221001221,-0.026862026862
7.4,-0.00732600732601,-0.021978021978
7.5,-0.01221001221,-0.017094017094
7.6,-0.01221001221,-0.026862026862
7.7,-0.00732600732601,-0.026862026862
7.8,-0.01221001221,-0.017094017094
7.9,-0.01221001221,-0.026862026862
8,-0.00732600732601,-0.021978021978
8.1,-0.00732600732601,-0.017094017094
8.2,-0.017094017094,-0.021978021978
