Trial,ri,rf,r,err,lambda,Trial,ri,rf,r,err,lambda
1,4,4.77,0.77,0.01,585.2,1,4,4.78,0.78,0.01,592.8
2,4.77,5.59,0.82,0.01,623.2,2,4.78,5.55,0.77,0.01,585.2
3,5.59,6.3,0.71,0.01,539.6,3,5.55,6.27,0.72,0.01,547.2
4,6.3,7.08,0.78,0.01,592.8,4,6.27,7.03,0.760000000000001,0.01,577.600000000001
5,7.08,7.82,0.74,0.01,562.4,5,7.03,7.77,0.739999999999999,0.01,562.4
6,7.82,8.69,0.87,0.01,661.199999999999,6,7.77,8.54,0.77,0.01,585.2
7,8.69,9.34,0.65,0.01,494,7,8.54,9.26,0.720000000000001,0.01,547.200000000001
8,9.34,10.08,0.74,0.01,562.4,8,9.26,10.02,0.76,0.01,577.6
9,10.08,10.88,0.8,0.01,608.000000000001,9,10.02,10.74,0.720000000000001,0.01,547.200000000001
10,10.88,11.64,0.76,0.01,577.6,10,10.74,11.48,0.74,0.01,562.4
